"","t_start","t_end","meanRt","quantile0025","quantile005","quantile025","quantile075","quantile095","quantile0975"
"1",3,3,1.00265374876321,0.12142602055867,0.178152275434086,0.481914877721748,1.34989005222026,2.37822677149455,2.79321456634833
"2",4,4,1.56549432151754,0.322842565091423,0.426697105762877,0.901359143407068,2.04578905448456,3.28534305482899,3.77006917285323
"3",5,5,0.535734837535103,0.0135636317472085,0.0274796047353546,0.154121308346717,0.742686184330394,1.60491814287111,1.97626123503631
"4",6,6,1.50626946650534,0.182416220387531,0.267635096568303,0.723972424839905,2.02791658766227,3.5727691386449,4.19619815901377
"5",7,7,2.81592773867685,0.580711997335939,0.767520009249264,1.62131678125127,3.67985630278123,5.9094999656047,6.78139946894015
"6",8,8,1.31817896841167,0.159637588465409,0.234215034792988,0.633568724159342,1.77468710280073,3.12663121856841,3.67221156871277
"7",9,9,1.95939294313601,0.404073930572205,0.534059617078573,1.12815276334628,2.56053604373104,4.11197786471222,4.71866734416669
"8",10,10,0.58681136165977,0.0148567773775017,0.0300994879235739,0.168815108660534,0.813493281710023,1.75792973461233,2.16467637546735
"9",11,11,1.59680200951436,0.193380131351013,0.283720987193841,0.767485930322576,2.1498021133094,3.78750619791497,4.44840568147431
"10",12,12,1.94284507412389,0.235287551863122,0.34520618029706,0.933807854888726,2.61568586543463,4.60829690593312,5.41241995843029
"11",13,13,1.7609914602036,0.213264235548999,0.312894292812697,0.846401846360102,2.37085320541205,4.17695245262434,4.90580821537162
"12",14,14,1.70750089742682,0.206786280239462,0.303390049214459,0.820692175347915,2.2988379372608,4.05007646121159,4.7567930450852
"13",15,15,4.21385937506127,1.36822866905698,1.66038664552811,2.83896166345711,5.28791372436267,7.71432839303969,8.63132289107423
"14",16,16,3.4998824357605,1.51100082143332,1.74155146865738,2.60571053061916,4.23679585542025,5.75210657006405,6.30970852188723
"15",17,17,0.676430476926008,0.139496226383699,0.184370471861144,0.389465989672469,0.883959811795134,1.41955556075686,1.62899964157332
"16",18,18,0.971399075051767,0.26467355396789,0.33181010670725,0.61570192719995,1.24082328327323,1.88297369487574,2.12913023766849
"17",19,19,0.886696769774521,0.182858190973692,0.24168145495751,0.510530271416778,1.15873594769293,1.86081995589364,2.13536907253355
"18",20,20,0.340825746119664,0.00862896079636,0.0174820753305725,0.0980494569886296,0.47248480997017,1.0210226873088,1.25726509229388
"19",21,21,4.43212635520721,1.91347757712871,2.20543869825986,3.29977892937099,5.36532724087357,7.28426271312788,7.99038994789985
"20",22,22,2.01310137826916,0.809371162566348,0.944810506771779,1.46170051658165,2.46129447241781,3.40570614427085,3.75572073631466
"21",23,23,1.54098450133171,0.665287731821274,0.766798277008222,1.14728412063602,1.86544458802381,2.53262994891167,2.77813990001525
"22",24,24,0.494201535550527,0.101916237712437,0.134701456264986,0.2845446748874,0.645822906057344,1.03713029181278,1.19015057975405
"23",25,25,1.64824676975832,0.711595966076635,0.820172287289601,1.22714235230734,1.99529133077993,2.7089170129092,2.97151600952487
"24",26,26,1.7342244301049,0.792997840496664,0.904730922818529,1.31755681191325,2.08154042741533,2.78143579734447,3.0374342046695
"25",27,27,2.53988041913827,1.47957394167091,1.61837301107428,2.10183170151416,2.9239087681637,3.63071179999868,3.88198275462128
"26",28,28,1.82376729439777,1.0980270478053,1.19427502555918,1.52690430867194,2.08590538108253,2.56208303808753,2.73063656709399
"27",29,29,1.39690361890528,0.853265020963902,0.92577353925295,1.1755046947834,1.59302936260833,1.94723053723331,2.07236613650783
"28",30,30,1.61204585952881,1.06234837921493,1.13787206497254,1.39339052100323,1.8090730902617,2.15396839580993,2.27453844028561
"29",31,31,1.40863302768577,0.943383646288821,1.00770581823555,1.22451033544958,1.57515626948583,1.8646853330825,1.96566461804606
"30",32,32,1.60026369088732,1.13794391982132,1.20335612572926,1.42079504211087,1.7648541048305,2.04376092044632,2.14016676543386
"31",33,33,1.49769458982833,1.0924287109423,1.1503297976067,1.34167916013367,1.64163854254074,1.88285621063522,1.96590541280638
"32",34,34,1.36352869579164,1.01203727969024,1.06259062000196,1.22899231568227,1.48817214093368,1.69544039721737,1.76660410224007
"33",35,35,1.17556334590722,0.872525774021046,0.916110228141481,1.05957309382398,1.28302442528811,1.46172030870386,1.52307394463528
"34",36,36,1.3883799122553,1.06922170970124,1.11577372438581,1.26772036041177,1.50116685425176,1.6856311929675,1.74858569345573
"35",37,37,1.60987767718632,1.2859131095601,1.33382370872756,1.48891543491447,1.72396441365534,1.90745291094894,1.96968942466248
"36",38,38,1.63322679451757,1.33976759554271,1.38360436491692,1.52465885261886,1.73630382672818,1.900035269903,1.95531344362379
"37",39,39,1.70742037262477,1.43994136551209,1.48031449354973,1.60941873558048,1.80111591745963,1.94800302530111,1.9973490846466
"38",40,40,1.40234899934443,1.1896111564355,1.22179221187281,1.3245650427115,1.4768257819051,1.59325611224802,1.63232862678233
"39",41,41,1.45184615898367,1.25323956532579,1.28347925576625,1.37967672856759,1.52125466597218,1.62885349584223,1.66484648816442
"40",42,42,1.6294685665831,1.43559075902668,1.46533617105683,1.55953122763985,1.69708466372628,1.8008651169463,1.83544770881554
"41",43,43,1.43911509560962,1.27686922117953,1.30182705620147,1.38073717684033,1.49565867309542,1.58214350228737,1.61092390190825
"42",44,44,1.57009945957686,1.4153892226874,1.43932877609987,1.51475276659607,1.62392910421711,1.70561746105954,1.73271841816181
"43",45,45,1.47724160461649,1.3421185271356,1.36308786801435,1.42903962180875,1.52421826299253,1.59522972240096,1.61875255361415
"44",46,46,0.740715525101631,0.654680315764874,0.667895914034857,0.70971599217493,0.770711047899656,0.816677094500231,0.831984931586924
"45",47,47,0.693274278394731,0.607638777982095,0.620752007211566,0.662325609005353,0.723155869541914,0.769135922569946,0.784472799298332
"46",48,48,0.745273553774985,0.648759851837092,0.663501181823342,0.710307800169815,0.778974310687928,0.83100472529468,0.848382119992629
"47",49,49,0.768592314797219,0.663978039130944,0.679911244362235,0.730588443970361,0.805149720996298,0.861800154042107,0.880747551824284
"48",50,50,0.671817437411597,0.568609086326771,0.58420824220613,0.634050770200845,0.707957524660804,0.764517297872526,0.783505896883524
