week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2
2,2018-05-10,0.5774216780030893,0.016849971823541726,2.2872417081452143,5122.0,0.105460185,0
3,2018-05-17,2.7805252417501536,1.0524862066907676,5.4404516284019975,17122.0,0.179226488,2
4,2018-05-24,0.36764040762133443,0.009235591898074028,1.3782736984982533,8348.0,0.087419371,0
5,2018-05-31,0.4304449208412579,0.010715154545140479,1.47868447799002,6586.0,0.069249641,0
6,2018-06-07,3.405843977401229,1.1805872230285364,6.779707960217945,18617.0,0.517220402,2
7,2018-06-14,0.422915360656883,0.008012036311334968,1.4504409020869375,6812.0,0.354224709,0
8,2018-06-21,1.7616814309316116,0.4436575934852428,3.82688042222994,12351.0,0.435208218,1
9,2018-06-28,3.401381816986945,1.5463311961983828,6.046830657528148,27273.0,1.170970524,3
10,2018-07-05,0.9497102774902383,0.27651824131636693,1.9991261863953669,16804.0,0.204175479,1
11,2018-07-12,2.2025455823154263,1.0943441147573607,3.7177575796282967,34539.0,1.279382263,4
12,2018-07-19,1.6676917149446038,0.813662572943486,2.848139284600815,36552.0,1.053707656,4
13,2018-07-26,3.7799188649149595,2.638768436642134,5.106853308701341,114332.0,3.886649507,14
14,2018-08-02,3.1473445246664586,2.422910145002947,3.9829371635744364,195187.0,6.046591934,23
15,2018-08-09,2.6370573797817594,2.1267387731474305,3.165783985559455,270981.0,8.440850854,37
16,2018-08-16,0.4777400616587848,0.3157226447483189,0.6732391406349953,197603.0,6.899774566,10
17,2018-08-23,0.7258936509688867,0.5137414946073513,0.9844776074180556,207394.0,5.634228128,15
18,2018-08-30,0.5254981876805518,0.3336710513958085,0.7599091275987729,156295.0,5.280228489,9
19,2018-09-06,0.7076433584272257,0.4713944845388112,1.0072624355687576,147434.0,4.315915331,10
20,2018-09-13,0.9997164561589837,0.6815983222433313,1.371296314021315,141687.0,4.862509969,12
21,2018-09-20,1.9891310760836085,1.506981860081007,2.5659203612232933,195419.0,6.149573438,24
22,2018-09-27,1.3130484969324272,0.974106586165329,1.7195197403239313,197881.0,5.496137744,20
23,2018-10-04,1.478521089713808,1.134444093809289,1.837055571313787,240717.0,8.055969841,27
24,2018-10-11,1.538755620064931,1.2585363158094338,1.8799489512980276,296438.0,8.222102743,34
25,2018-10-18,1.6119406320772016,1.3356524861119181,1.9098245725044543,379558.0,12.338138879,44
26,2018-10-25,1.1113554539417898,0.8947091346152654,1.3409504336715872,377604.0,11.811294013,37
27,2018-11-01,0.8357079728167247,0.6699194486832258,1.0470073649574425,375057.0,12.528821171,30
28,2018-11-08,1.0275550584865756,0.8300216452211602,1.2418521282120525,407215.0,11.191334265,36
29,2018-11-15,1.0195505886868061,0.8212821343815853,1.2416045596877705,409678.0,13.816346186,35
30,2018-11-22,0.9082186863477348,0.7272264046821891,1.1242955104103975,369739.0,12.548879186,31
31,2018-11-29,1.6060889272108614,1.3507324485675314,1.8698114945469564,488086.0,16.063163108,56
32,2018-12-06,1.0975758030729013,0.910586552505568,1.3014769914956132,466546.0,14.599523448,44
33,2018-12-13,0.5255865847193631,0.39324263559912914,0.6699336848584825,406209.0,13.624083943,22
34,2018-12-20,0.809049518470987,0.6282464614282114,1.0069312137014335,400171.0,13.660024409,30
35,2018-12-27,0.867335696456295,0.6804696738949337,1.0854350564015403,355160.0,9.959654073,28
36,2019-01-03,1.2165319865301825,0.9816445298613503,1.4817128789301308,360225.0,9.941999053,37
37,2019-01-10,1.1304297472311684,0.9180523985002594,1.379996117277415,357851.0,11.799614872,36
38,2019-01-17,1.0173208765998063,0.8184090574459687,1.2396408514362813,390081.0,13.038137251,34
39,2019-01-24,1.19559626383254,0.968596227048158,1.4420385234753117,388594.0,13.273232093,41
40,2019-01-31,0.710684623065944,0.5492802260614564,0.8977213442780443,353070.0,12.027849493,25
41,2019-02-07,0.7290513361059164,0.561469652166805,0.9233825187218783,332200.0,9.048238114,24
42,2019-02-14,1.068608546830509,0.8418908991064942,1.3148642275382676,351403.0,11.180153675,31
43,2019-02-21,1.0211291456023184,0.8089777038382955,1.2712495129470112,309759.0,10.154889179,29
44,2019-02-28,1.1706907239614364,0.9352813055870288,1.4183774440435886,351083.0,11.992496237,34
45,2019-03-07,1.4126128437072984,1.1655631750856636,1.6673560004702523,404656.0,11.348352659,44
46,2019-03-14,2.0816865806322498,1.8151873478080198,2.3644172658872176,602237.0,20.517476052,78
47,2019-03-21,1.3429201758493434,1.157331340529424,1.5437576132108966,680349.0,21.26297209,68
48,2019-03-28,1.3785645578875942,1.18555090797408,1.5808073014600463,817815.0,27.879319887,85
49,2019-04-04,1.4805584559092906,1.3092944783105367,1.656916128680874,1.01093e6,34.438206826,107
50,2019-04-11,1.160886259062891,1.0141869920511668,1.3168712915262528,929732.0,25.752883057,99
51,2019-04-18,1.3159782685825443,1.1823019433276896,1.4652623450218012,1.243571e6,34.88438971,125
52,2019-04-25,0.9633596069292094,0.8434622255256844,1.0797877144683148,1.109767e6,37.725274068,101
53,2019-05-02,1.244323728955137,1.1180789726160838,1.3744535211094282,1.353471e6,45.717625887,136
54,2019-05-09,0.818281853078916,0.7170260766709732,0.9340934118211085,1.150131e6,38.614362107,94
55,2019-05-16,0.7840049305317925,0.6880196472375049,0.890445050215137,1.165225e6,39.505250099,87
56,2019-05-23,0.6324392530893483,0.5373161926294834,0.7371448220616966,927196.0,28.702105961,63
57,2019-05-30,0.8946379857368629,0.7712238214019326,1.0215688123058209,869491.0,29.333385255,77
58,2019-06-06,1.1492595796815896,1.007312107579363,1.3051622447321194,939191.0,31.613317272,92
59,2019-06-13,0.9136986043334223,0.7921271487224699,1.046094246913814,805456.0,27.217563271,74
60,2019-06-20,1.172539573227661,1.027262856194294,1.3307886580988304,1.009447e6,31.613503059,95
61,2019-06-27,1.0137488006512634,0.8803143506844474,1.1554357574084222,939821.0,29.45058498,85
62,2019-07-04,0.9277398265792479,0.7991579539741013,1.0499134675658544,927951.0,29.141970605,79
63,2019-07-11,1.1157677108575743,0.9747561674913425,1.2487150534928633,979278.0,33.406544308,94
64,2019-07-18,1.0411294895621404,0.914720883947323,1.1699710159661716,974228.0,32.771165802,90
65,2019-07-25,0.7913085221525459,0.6835825897071489,0.9217197625208287,917332.0,28.566305392,69
66,2019-08-01,0.8925788238344775,0.7704682391023799,1.0228538543925543,917884.0,25.947485426,73
67,2019-08-08,0.8566858209879791,0.728214681764969,0.9936135421075242,827097.0,28.029130587,66
68,2019-08-15,0.9698813979871995,0.8392455795297635,1.125295882149469,800237.0,26.924261022,70
69,2019-08-22,0.9075886069944613,0.775409415516069,1.0446509450196522,698944.0,23.615595751,63
70,2019-08-29,0.5686243488833214,0.4605206693420287,0.6934835615185837,619974.0,20.995618908,37
71,2019-09-05,0.8031172898065521,0.6661841315097417,0.9607415710951717,598203.0,20.371400163,45
72,2019-09-12,0.6981635745678504,0.5499304225253423,0.8538070948120744,470227.0,16.001638094,34
73,2019-09-19,0.46662900640498894,0.3399774597208089,0.6149992560301653,395121.0,10.903465571,19
74,2019-09-26,0.5912703320216249,0.43703221380115637,0.7573948449667653,335180.0,10.648846681,19
75,2019-10-03,0.5208911900735602,0.3550726074866176,0.699204819466927,234456.0,6.622876243,13
76,2019-10-10,0.9512350816366737,0.6944499270072814,1.2448669650135558,227581.0,6.280154445,19
77,2019-10-17,1.052252738566695,0.7735086149673349,1.3677042877255796,220027.0,6.83001971,19
78,2019-10-24,0.7855515387498677,0.5506526218421387,1.0907096311227635,186444.0,6.005115104,14
79,2019-10-31,0.6120671951884994,0.40209150673798816,0.876344569662659,157557.0,4.481684732,10
80,2019-11-07,0.5922050241242431,0.3697465076069078,0.8783361291873771,128172.0,3.908129553,8
81,2019-11-14,1.3123272330354583,0.9508728166375264,1.762894943098051,145744.0,4.672058487,15
82,2019-11-21,0.8037403775121708,0.5231005387129981,1.1595161812811983,118826.0,3.75690211,9
83,2019-11-28,1.0665602423348,0.7139702585454301,1.4983644575819284,128316.0,3.88065017,12
84,2019-12-05,2.450262376099079,1.924479522747376,3.061084681521578,230807.0,7.516529999,30
85,2019-12-12,0.8523245759023013,0.6051760475641954,1.1463988620097425,176536.0,5.009076,14
86,2019-12-19,0.4719086292480995,0.294239119410322,0.681343992855222,159689.0,4.847637545,8
87,2019-12-26,0.9592749015428425,0.6702600538773711,1.305281926780156,164149.0,5.246801376,14
88,2020-01-02,0.4243550915931105,0.23001757092707567,0.6660787239030074,113238.0,3.398170182,5
89,2020-01-09,1.9658754958736642,1.4674866069312544,2.545174490046733,185928.0,6.383666525,22
90,2020-01-16,0.2845117060927185,0.1298836255773168,0.5224738375908377,99547.0,2.991137862,3
91,2020-01-23,0.5022709215156062,0.29216211704401707,0.7804800837506155,92186.0,3.113888717,5
92,2020-01-30,0.2855936712964013,0.10419522696289793,0.5465058261956512,65755.0,1.708644536,2
93,2020-02-06,0.2924517185499092,0.06864592601378079,0.5729765653494796,45858.0,1.245573326,1
94,2020-02-13,0.45637656589465064,0.1215872166190743,1.0030134815111984,29939.0,0.937939427,1
95,2020-02-20,0.1807235418484312,0.005466451859039021,0.6537935853356227,16842.0,0.737756696,0
96,2020-02-27,0.32189516851341976,0.010296488292750663,1.1616714516102302,9818.0,0.17752952,0
97,2020-03-05,2.143483366084229,0.6008664364747418,4.7164394138996375,11914.0,0.455588234,1
98,2020-03-12,0.5571041375542666,0.020504109079649977,1.9696697705303936,5323.0,0.089517449,0
99,2020-03-19,2.487822669764052,0.5805279020198579,5.434827032578468,11215.0,0.453742037,1
100,2020-03-26,1.985814706607992,0.5948760724033317,4.47632269614478,10924.0,0.443627636,1
101,2020-04-02,1.5748983322396322,0.4387157212040588,3.302752132405141,12337.0,0.460254102,1
102,2020-04-09,2.757373770385275,1.1782207545647583,4.866758596836196,26165.0,1.11919655,3
103,2020-04-16,0.8770576782901535,0.24225428004031277,1.9513147245312932,17820.0,0.531907508,1
